"Name","noisy_layer_init_std","mean_regret","seed","env_id","_wandb"
"conbandit_combi1_0__4__2025-06-14_15-53","0.35000000000000003","253.087","4","MNISTBandit-v0",""
"conbandit_combi1_0__3__2025-06-14_15-53","0.35000000000000003","178.752","3","MNISTBandit-v0",""
"conbandit_combi1_0__2__2025-06-14_15-53","0.35000000000000003","262.686","2","MNISTBandit-v0",""
"conbandit_combi1_0__1__2025-06-14_15-52","0.35000000000000003","241.821","1","MNISTBandit-v0",""
"conbandit_combi1_0__0__2025-06-14_15-52","0.35000000000000003","222.516","0","MNISTBandit-v0",""
"conbandit_combi1_0__5__2025-06-14_15-52","0.3","279.522","5","MNISTBandit-v0",""
"conbandit_combi1_0__4__2025-06-14_15-52","0.3","255.132","4","MNISTBandit-v0",""
"conbandit_combi1_0__3__2025-06-14_15-51","0.3","174.812","3","MNISTBandit-v0",""
"conbandit_combi1_0__2__2025-06-14_15-51","0.3","257.106","2","MNISTBandit-v0",""
"conbandit_combi1_0__1__2025-06-14_15-51","0.3","241.946","1","MNISTBandit-v0",""
"conbandit_combi1_0__0__2025-06-14_15-51","0.3","222.757","0","MNISTBandit-v0",""
"conbandit_combi1_0__5__2025-06-14_15-50","0.25","277.661","5","MNISTBandit-v0",""
"conbandit_combi1_0__4__2025-06-14_15-50","0.25","281.375","4","MNISTBandit-v0",""
"conbandit_combi1_0__3__2025-06-14_15-50","0.25","172.974","3","MNISTBandit-v0",""
"conbandit_combi1_0__2__2025-06-14_15-50","0.25","266.491","2","MNISTBandit-v0",""
"conbandit_combi1_0__1__2025-06-14_15-49","0.25","243.911","1","MNISTBandit-v0",""
"conbandit_combi1_0__0__2025-06-14_15-49","0.25","222.821","0","MNISTBandit-v0",""
"conbandit_combi1_0__5__2025-06-14_15-49","0.2","279.524","5","MNISTBandit-v0",""
"conbandit_combi1_0__4__2025-06-14_15-49","0.2","279.526","4","MNISTBandit-v0",""
"conbandit_combi1_0__3__2025-06-14_15-48","0.2","172.995","3","MNISTBandit-v0",""
"conbandit_combi1_0__2__2025-06-14_15-48","0.2","262.76","2","MNISTBandit-v0",""
"conbandit_combi1_0__1__2025-06-14_15-48","0.2","245.871","1","MNISTBandit-v0",""
"conbandit_combi1_0__0__2025-06-14_15-47","0.2","223.158","0","MNISTBandit-v0",""
"conbandit_combi1_0__5__2025-06-14_15-47","0.15000000000000002","268.389","5","MNISTBandit-v0",""
"conbandit_combi1_0__4__2025-06-14_15-47","0.15000000000000002","290.668","4","MNISTBandit-v0",""
"conbandit_combi1_0__3__2025-06-14_15-47","0.15000000000000002","190.449","3","MNISTBandit-v0",""
"conbandit_combi1_0__2__2025-06-14_15-46","0.15000000000000002","262.787","2","MNISTBandit-v0",""
"conbandit_combi1_0__1__2025-06-14_15-46","0.15000000000000002","257.177","1","MNISTBandit-v0",""
"conbandit_combi1_0__0__2025-06-14_15-46","0.15000000000000002","242.207","0","MNISTBandit-v0",""
"conbandit_combi1_0__5__2025-06-14_15-46","0.1","305.435","5","MNISTBandit-v0",""
"conbandit_combi1_0__4__2025-06-14_15-45","0.1","296.211","4","MNISTBandit-v0",""
"conbandit_combi1_0__3__2025-06-14_15-45","0.1","198.47","3","MNISTBandit-v0",""
"conbandit_combi1_0__2__2025-06-14_15-45","0.1","259.068","2","MNISTBandit-v0",""
"conbandit_combi1_0__1__2025-06-14_15-45","0.1","277.691","1","MNISTBandit-v0",""
"conbandit_combi1_0__0__2025-06-14_15-44","0.1","244.098","0","MNISTBandit-v0",""
"conbandit_combi1_0__5__2025-06-14_15-44","0.05","307.277","5","MNISTBandit-v0",""
"conbandit_combi1_0__4__2025-06-14_15-44","0.05","303.597","4","MNISTBandit-v0",""
"conbandit_combi1_0__3__2025-06-14_15-44","0.05","221.554","3","MNISTBandit-v0",""
"conbandit_combi1_0__2__2025-06-14_15-43","0.05","266.537","2","MNISTBandit-v0",""
"conbandit_combi1_0__1__2025-06-14_15-43","0.05","301.753","1","MNISTBandit-v0",""
"conbandit_combi1_0__0__2025-06-14_15-43","0.05","247.86","0","MNISTBandit-v0",""
"conbandit_combi1_0__5__2025-06-14_15-42","0.5","63.842123392551144","5","ContextualBandit-v2",""
"conbandit_combi1_0__4__2025-06-14_15-42","0.5","96.44522053357096","4","ContextualBandit-v2",""
"conbandit_combi1_0__3__2025-06-14_15-42","0.5","69.95537511332685","3","ContextualBandit-v2",""
"conbandit_combi1_0__2__2025-06-14_15-42","0.5","67.51895982106095","2","ContextualBandit-v2",""
"conbandit_combi1_0__1__2025-06-14_15-41","0.5","91.0503296959817","1","ContextualBandit-v2",""
"conbandit_combi1_0__0__2025-06-14_15-41","0.5","38.78425344934728","0","ContextualBandit-v2",""
"conbandit_combi1_0__5__2025-06-14_15-41","0.45","61.21105326993228","5","ContextualBandit-v2",""
"conbandit_combi1_0__4__2025-06-14_15-40","0.45","201.90494270507372","4","ContextualBandit-v2",""
"conbandit_combi1_0__3__2025-06-14_15-40","0.45","65.59202285655041","3","ContextualBandit-v2",""
"conbandit_combi1_0__2__2025-06-14_15-40","0.45","63.678188058959776","2","ContextualBandit-v2",""
"conbandit_combi1_0__1__2025-06-14_15-39","0.45","86.50916689311642","1","ContextualBandit-v2",""
"conbandit_combi1_0__0__2025-06-14_15-39","0.45","34.65174062614859","0","ContextualBandit-v2",""
"conbandit_combi1_0__5__2025-06-14_15-05","0.4","58.71278532570155","5","ContextualBandit-v2",""
"conbandit_combi1_0__4__2025-06-14_15-05","0.4","195.85458666155995","4","ContextualBandit-v2",""
"conbandit_combi1_0__3__2025-06-14_15-05","0.4","60.62274682286551","3","ContextualBandit-v2",""
"conbandit_combi1_0__2__2025-06-14_15-04","0.4","61.38329132846916","2","ContextualBandit-v2",""
"conbandit_combi1_0__1__2025-06-14_15-04","0.4","84.38276584136297","1","ContextualBandit-v2",""
"conbandit_combi1_0__0__2025-06-14_15-04","0.4","30.40893424534131","0","ContextualBandit-v2",""
"conbandit_combi1_0__5__2025-06-14_15-03","0.35000000000000003","74.50450616343285","5","ContextualBandit-v2",""
"conbandit_combi1_0__4__2025-06-14_15-03","0.35000000000000003","193.1251354306561","4","ContextualBandit-v2",""
"conbandit_combi1_0__3__2025-06-14_15-03","0.35000000000000003","79.84660703313843","3","ContextualBandit-v2",""
"conbandit_combi1_0__2__2025-06-14_15-02","0.35000000000000003","57.068857271056785","2","ContextualBandit-v2",""
"conbandit_combi1_0__1__2025-06-14_15-02","0.35000000000000003","81.49018383034168","1","ContextualBandit-v2",""
"conbandit_combi1_0__0__2025-06-14_15-02","0.35000000000000003","26.57866101397077","0","ContextualBandit-v2",""
"conbandit_combi1_0__5__2025-06-14_15-01","0.3","71.1765017795386","5","ContextualBandit-v2",""
"conbandit_combi1_0__4__2025-06-14_15-01","0.3","187.96757878990508","4","ContextualBandit-v2",""
"conbandit_combi1_0__3__2025-06-14_15-01","0.3","79.62785610368502","3","ContextualBandit-v2",""
"conbandit_combi1_0__2__2025-06-14_15-00","0.3","54.26874217822576","2","ContextualBandit-v2",""
"conbandit_combi1_0__1__2025-06-14_15-00","0.3","79.57158279115264","1","ContextualBandit-v2",""
"conbandit_combi1_0__0__2025-06-14_14-59","0.3","22.54264445174847","0","ContextualBandit-v2",""
"conbandit_combi1_0__5__2025-06-14_14-59","0.25","69.70953481267983","5","ContextualBandit-v2",""
"conbandit_combi1_0__4__2025-06-14_14-59","0.25","185.03237841790605","4","ContextualBandit-v2",""
"conbandit_combi1_0__3__2025-06-14_14-58","0.25","77.60710639887385","3","ContextualBandit-v2",""
"conbandit_combi1_0__2__2025-06-14_14-58","0.25","52.92746955445545","2","ContextualBandit-v2",""
