"Name","noisy_layer_init_std","mean_regret","seed","env_id","_wandb"
"conbandit_combi1_0__5__2025-06-16_18-58","0.6000000000000001","64.65569305419922","5","NNBandit-v0",""
"conbandit_combi1_0__4__2025-06-16_18-57","0.6000000000000001","87.85358428955078","4","NNBandit-v0",""
"conbandit_combi1_0__3__2025-06-16_18-57","0.6000000000000001","98.3515853881836","3","NNBandit-v0",""
"conbandit_combi1_0__2__2025-06-16_18-57","0.6000000000000001","63.77442932128906","2","NNBandit-v0",""
"conbandit_combi1_0__1__2025-06-16_18-57","0.6000000000000001","53.92564392089844","1","NNBandit-v0",""
"conbandit_combi1_0__0__2025-06-16_18-56","0.6000000000000001","59.3099365234375","0","NNBandit-v0",""
"conbandit_combi1_0__5__2025-06-16_18-56","0.55","61.256744384765625","5","NNBandit-v0",""
"conbandit_combi1_0__4__2025-06-16_18-56","0.55","85.49276733398438","4","NNBandit-v0",""
"conbandit_combi1_0__3__2025-06-16_18-56","0.55","95.40495300292967","3","NNBandit-v0",""
"conbandit_combi1_0__2__2025-06-16_18-55","0.55","60.10082244873047","2","NNBandit-v0",""
"conbandit_combi1_0__1__2025-06-16_18-55","0.55","50.741981506347656","1","NNBandit-v0",""
"conbandit_combi1_0__0__2025-06-16_18-55","0.55","55.70652389526367","0","NNBandit-v0",""
"conbandit_combi1_0__5__2025-06-16_18-54","0.5","59.666263580322266","5","NNBandit-v0",""
"conbandit_combi1_0__4__2025-06-16_18-54","0.5","92.19831085205078","4","NNBandit-v0",""
"conbandit_combi1_0__3__2025-06-16_18-54","0.5","92.97025299072266","3","NNBandit-v0",""
"conbandit_combi1_0__2__2025-06-16_18-54","0.5","59.359825134277344","2","NNBandit-v0",""
"conbandit_combi1_0__1__2025-06-16_18-53","0.5","46.12202453613281","1","NNBandit-v0",""
"conbandit_combi1_0__0__2025-06-16_18-53","0.5","50.05100631713867","0","NNBandit-v0",""
"conbandit_combi1_0__5__2025-06-16_18-53","0.45","56.94702911376953","5","NNBandit-v0",""
"conbandit_combi1_0__4__2025-06-16_18-53","0.45","91.92979431152344","4","NNBandit-v0",""
"conbandit_combi1_0__3__2025-06-16_18-52","0.45","92.76667785644533","3","NNBandit-v0",""
"conbandit_combi1_0__2__2025-06-16_18-52","0.45","56.665870666503906","2","NNBandit-v0",""
"conbandit_combi1_0__1__2025-06-16_18-52","0.45","43.11338424682617","1","NNBandit-v0",""
"conbandit_combi1_0__0__2025-06-16_18-52","0.45","46.11320495605469","0","NNBandit-v0",""
"conbandit_combi1_0__5__2025-06-16_18-51","0.4","54.462860107421875","5","NNBandit-v0",""
"conbandit_combi1_0__4__2025-06-16_18-51","0.4","90.97180938720705","4","NNBandit-v0",""
"conbandit_combi1_0__3__2025-06-16_18-51","0.4","89.22207641601562","3","NNBandit-v0",""
"conbandit_combi1_0__2__2025-06-16_18-51","0.4","54.52947616577149","2","NNBandit-v0",""
"conbandit_combi1_0__1__2025-06-16_18-50","0.4","39.53823471069336","1","NNBandit-v0",""
"conbandit_combi1_0__0__2025-06-16_18-50","0.4","41.76332092285156","0","NNBandit-v0",""
"conbandit_combi1_0__5__2025-06-16_18-50","0.35000000000000003","49.07241439819336","5","NNBandit-v0",""
"conbandit_combi1_0__4__2025-06-16_18-50","0.35000000000000003","88.88992309570312","4","NNBandit-v0",""
"conbandit_combi1_0__3__2025-06-16_18-49","0.35000000000000003","88.1451416015625","3","NNBandit-v0",""
"conbandit_combi1_0__2__2025-06-16_18-49","0.35000000000000003","53.27877426147461","2","NNBandit-v0",""
"conbandit_combi1_0__1__2025-06-16_18-49","0.35000000000000003","36.140628814697266","1","NNBandit-v0",""
"conbandit_combi1_0__0__2025-06-16_18-48","0.35000000000000003","38.423614501953125","0","NNBandit-v0",""
"conbandit_combi1_0__5__2025-06-16_18-48","0.3","46.62187957763672","5","NNBandit-v0",""
"conbandit_combi1_0__4__2025-06-16_18-48","0.3","138.6104736328125","4","NNBandit-v0",""
"conbandit_combi1_0__3__2025-06-16_18-48","0.3","91.71332550048828","3","NNBandit-v0",""
"conbandit_combi1_0__2__2025-06-16_18-47","0.3","51.60763168334961","2","NNBandit-v0",""
"conbandit_combi1_0__1__2025-06-16_18-47","0.3","34.56676483154297","1","NNBandit-v0",""
"conbandit_combi1_0__0__2025-06-16_18-47","0.3","37.122920989990234","0","NNBandit-v0",""
