"Step","noisy_net: true - exploration_rate","noisy_net: true - exploration_rate__MIN","noisy_net: true - exploration_rate__MAX","noisy_net: false - exploration_rate","noisy_net: false - exploration_rate__MIN","noisy_net: false - exploration_rate__MAX"
"220","0.23697368421052628","0.1","0.4","0.2789195711104363","0.2789195711104362","0.2789195711104362"
"221","","","","0.27808281239710475","0.27808281239710486","0.27808281239710486"
"222","","","","0.27724856395991354","0.27724856395991354","0.27724856395991354"
"223","","","","0.2764168182680339","0.2764168182680338","0.2764168182680338"
"224","","","","0.2755875678132297","0.27558756781322974","0.27558756781322974"
"225","","","","0.27476080510979006","0.27476080510979006","0.27476080510979006"
"226","","","","0.2739365226944606","0.27393652269446067","0.27393652269446067"
"227","","","","0.27311471312637725","0.2731147131263773","0.2731147131263773"
"228","","","","0.27229536898699813","0.2722953689869982","0.2722953689869982"
"229","","","","0.2714784828800373","0.2714784828800372","0.2714784828800372"
"230","0.22486842105263158","0.0875","0.37","0.27066404743139705","0.27066404743139705","0.27066404743139705"
"231","","","","0.26985205528910283","0.26985205528910283","0.26985205528910283"
"232","","","","0.26904249912323547","0.2690424991232355","0.2690424991232355"
"233","","","","0.2682353716258658","0.2682353716258658","0.2682353716258658"
"234","","","","0.2674306655109882","0.2674306655109882","0.2674306655109882"
"235","","","","0.26662837351445523","0.26662837351445523","0.26662837351445523"
"236","","","","0.2658284883939119","0.2658284883939119","0.2658284883939119"
"237","","","","0.26503100292873016","0.26503100292873016","0.26503100292873016"
"238","","","","0.264235909919944","0.26423590991994395","0.26423590991994395"
"239","","","","0.2634432021901842","0.26344320219018413","0.26344320219018413"
"240","0.2169736842105263","0.07749999999999999","0.3475","0.26265287258361353","0.2626528725836136","0.2626528725836136"
"241","","","","0.2618649139658627","0.26186491396586276","0.26186491396586276"
"242","","","","0.26107931922396516","0.26107931922396516","0.26107931922396516"
"243","","","","0.2602960812662932","0.2602960812662933","0.2602960812662933"
"244","","","","0.2595151930224944","0.2595151930224944","0.2595151930224944"
"245","","","","0.25873664744342684","0.2587366474434269","0.2587366474434269"
"246","","","","0.25796043750109654","0.2579604375010966","0.2579604375010966"
"247","","","","0.2571865561885933","0.2571865561885933","0.2571865561885933"
"248","","","","0.25641499652002764","0.2564149965200275","0.2564149965200275"
"249","","","","0.2556457515304675","0.2556457515304674","0.2556457515304674"
"250","0.20710526315789474","0.06749999999999999","0.32999999999999996","0.2548788142758759","0.254878814275876","0.254878814275876"
"251","","","","0.2541141778330483","0.25411417783304835","0.25411417783304835"
"252","","","","0.2533518352995491","0.2533518352995492","0.2533518352995492"
"253","","","","0.25259177979365066","0.25259177979365055","0.25259177979365055"
"254","","","","0.25183400445426957","0.2518340044542696","0.2518340044542696"
"255","","","","0.2510785024409068","0.2510785024409068","0.2510785024409068"
"256","","","","0.25032526693358415","0.2503252669335841","0.2503252669335841"
"257","","","","0.24957429113278332","0.24957429113278334","0.24957429113278334"
"258","","","","0.24882556825938498","0.24882556825938498","0.24882556825938498"
"259","","","","0.24807909155460675","0.24807909155460683","0.24807909155460683"
"260","0.19565789473684211","0.06","0.2975","0.24733485427994303","0.247334854279943","0.247334854279943"
"261","","","","0.24659284971710316","0.24659284971710319","0.24659284971710319"
"262","","","","0.24585307116795188","0.24585307116795188","0.24585307116795188"
"263","","","","0.24511551195444795","0.24511551195444803","0.24511551195444803"
"264","","","","0.24438016541858468","0.24438016541858468","0.24438016541858468"
"265","","","","0.24364702492232884","0.24364702492232893","0.24364702492232893"
"266","","","","0.24291608384756194","0.24291608384756194","0.24291608384756194"
"267","","","","0.24218733559601932","0.24218733559601927","0.24218733559601927"
"268","","","","0.24146077358923124","0.2414607735892312","0.2414607735892312"
"269","","","","0.2407363912684635","0.24073639126846352","0.24073639126846352"
"270","0.18328947368421056","0.05","0.2725","0.2400141820946581","0.24001418209465814","0.24001418209465814"
"271","","","","0.2392941395483742","0.23929413954837417","0.23929413954837417"
"272","","","","0.23857625712972907","0.23857625712972905","0.23857625712972905"
"273","","","","0.23786052835833982","0.23786052835833985","0.23786052835833985"
"274","","","","0.23714694677326478","0.23714694677326484","0.23714694677326484"
"275","","","","0.23643550593294504","0.23643550593294504","0.23643550593294504"
"276","","","","0.23572619941514625","0.23572619941514622","0.23572619941514622"
