"Name","batch_size","mean_regret","dynamic_rate","seed","env_id","memory_size","_wandb"
"conbandit_combi1_0__4__2025-06-18_15-51","100","250.27254595133311","1000","4","ContextualBandit-v2","1000",""
"conbandit_combi1_0__3__2025-06-18_15-51","100","92.87671759242212","1000","3","ContextualBandit-v2","1000",""
"conbandit_combi1_0__2__2025-06-18_15-51","100","162.93315306855104","1000","2","ContextualBandit-v2","1000",""
"conbandit_combi1_0__1__2025-06-18_15-51","100","165.60937693767235","1000","1","ContextualBandit-v2","1000",""
"conbandit_combi1_0__0__2025-06-18_15-50","100","94.86972896275007","1000","0","ContextualBandit-v2","1000",""
"conbandit_combi1_0__5__2025-06-18_15-50","100","71.88308094846465","1000","5","ContextualBandit-v2","500",""
"conbandit_combi1_0__4__2025-06-18_15-50","100","225.4511502487935","1000","4","ContextualBandit-v2","500",""
"conbandit_combi1_0__3__2025-06-18_15-49","100","84.97986067483758","1000","3","ContextualBandit-v2","500",""
"conbandit_combi1_0__2__2025-06-18_15-49","100","155.98025264990147","1000","2","ContextualBandit-v2","500",""
"conbandit_combi1_0__1__2025-06-18_15-49","100","164.81549047124616","1000","1","ContextualBandit-v2","500",""
"conbandit_combi1_0__0__2025-06-18_15-49","100","72.33549650448393","1000","0","ContextualBandit-v2","500",""
"conbandit_combi1_0__5__2025-06-18_15-34","50","34.61122512817383","1000","5","NNBandit-v0","2000",""
"conbandit_combi1_0__4__2025-06-18_15-34","50","55.46832275390625","1000","4","NNBandit-v0","2000",""
"conbandit_combi1_0__3__2025-06-18_15-34","50","62.10165786743164","1000","3","NNBandit-v0","2000",""
"conbandit_combi1_0__2__2025-06-18_15-34","50","41.19215774536133","1000","2","NNBandit-v0","2000",""
"conbandit_combi1_0__1__2025-06-18_15-33","50","26.69786262512207","1000","1","NNBandit-v0","2000",""
"conbandit_combi1_0__0__2025-06-18_15-33","50","35.93437576293945","1000","0","NNBandit-v0","2000",""
"conbandit_combi1_0__5__2025-06-18_15-33","50","34.61122512817383","1000","5","NNBandit-v0","1500",""
"conbandit_combi1_0__4__2025-06-18_15-32","50","55.46832275390625","1000","4","NNBandit-v0","1500",""
"conbandit_combi1_0__3__2025-06-18_15-32","50","62.12139129638672","1000","3","NNBandit-v0","1500",""
"conbandit_combi1_0__2__2025-06-18_15-32","50","41.19215774536133","1000","2","NNBandit-v0","1500",""
"conbandit_combi1_0__1__2025-06-18_15-32","50","26.69786262512207","1000","1","NNBandit-v0","1500",""
