"Step","env_id: NNBandit-v0 - regret","env_id: NNBandit-v0 - regret__MIN","env_id: NNBandit-v0 - regret__MAX"
"98","36.03559586097454","19.358760833740234","55.54347229003906"
"99","36.411140836518385","19.649560928344727","55.90752410888672"
"100","36.79585443694016","19.704044342041016","56.62969970703125"
"101","37.173909812138","19.72356605529785","57.187503814697266"
"102","37.482609387101796","19.7911434173584","57.697296142578125"
"103","37.822973843278554","19.92293357849121","58.4329719543457"
"104","38.12137649799215","19.972881317138672","58.4329719543457"
"105","38.38852540377913","20.28322410583496","58.85137939453125"
"106","38.74983142984325","20.3416690826416","59.200775146484375"
"107","38.9583081212537","20.44420623779297","59.200775146484375"
"108","39.17578894516517","20.48261833190918","59.41401290893555"
"109","39.394094993328224","20.56403160095215","59.579071044921875"
"110","39.62719746293693","20.606943130493164","60.2114372253418"
"111","39.83944129943848","20.63442611694336","60.666709899902344"
