"Step","conbandit_combi1_0__5820__2025-06-17_16-53 - exploration_rate","conbandit_combi1_0__5820__2025-06-17_16-53 - exploration_rate__MIN","conbandit_combi1_0__5820__2025-06-17_16-53 - exploration_rate__MAX","conbandit_combi1_0__7324__2025-06-17_16-52 - exploration_rate","conbandit_combi1_0__7324__2025-06-17_16-52 - exploration_rate__MIN","conbandit_combi1_0__7324__2025-06-17_16-52 - exploration_rate__MAX","conbandit_combi1_0__6341__2025-06-17_16-51 - exploration_rate","conbandit_combi1_0__6341__2025-06-17_16-51 - exploration_rate__MIN","conbandit_combi1_0__6341__2025-06-17_16-51 - exploration_rate__MAX"
"194","0.28650254088165716","0.28650254088165716","0.28650254088165716","0.3445161290322584","0.3445161290322584","0.3445161290322584","0.28877405830903186","0.28877405830903186","0.28877405830903186"
"195","0.2856430332590122","0.2856430332590122","0.2856430332590122","0.34322580645161327","0.34322580645161327","0.34322580645161327","0.28790773613410475","0.28790773613410475","0.28790773613410475"
"196","0.28478610415923516","0.28478610415923516","0.28478610415923516","0.3419354838709681","0.3419354838709681","0.3419354838709681","0.2870440129257024","0.2870440129257024","0.2870440129257024"
"197","0.28393174584675746","0.28393174584675746","0.28393174584675746","0.34064516129032296","0.34064516129032296","0.34064516129032296","0.2861828808869253","0.2861828808869253","0.2861828808869253"
"198","0.2830799506092172","0.2830799506092172","0.2830799506092172","0.3393548387096778","0.3393548387096778","0.3393548387096778","0.2853243322442645","0.2853243322442645","0.2853243322442645"
"199","0.28223071075738954","0.28223071075738954","0.28223071075738954","0.33806451612903266","0.33806451612903266","0.33806451612903266","0.2844683592475317","0.2844683592475317","0.2844683592475317"
"200","0.28138401862511736","0.28138401862511736","0.28138401862511736","0.3367741935483875","0.3367741935483875","0.3367741935483875","0.2836149541697891","0.2836149541697891","0.2836149541697891"
"201","0.280539866569242","0.280539866569242","0.280539866569242","0.33548387096774235","0.33548387096774235","0.33548387096774235","0.28276410930727974","0.28276410930727974","0.28276410930727974"
"202","0.27969824696953427","0.27969824696953427","0.27969824696953427","0.3341935483870972","0.3341935483870972","0.3341935483870972","0.2819158169793579","0.2819158169793579","0.2819158169793579"
"203","0.2788591522286257","0.2788591522286257","0.2788591522286257","0.33290322580645204","0.33290322580645204","0.33290322580645204","0.28107006952841984","0.28107006952841984","0.28107006952841984"
