"Step","noisy_net: false - regret","noisy_net: false - regret__MIN","noisy_net: false - regret__MAX"
"65","23.78717464462602","10.018283617346862","41.93824326086837"
"66","24.093737804458843","10.047737399939486","42.720561436953766"
"67","24.467181142320737","10.113042762215441","43.50985622145787"
"68","24.71299068863053","10.113042762215441","43.61083278834606"
"69","24.96575697334627","10.113042762215441","44.478069014849474"
"70","25.256713279602838","10.50835449866708","45.21961413765169"
"71","25.455817259252495","10.94582053629338","45.77217729890988"
"72","25.74551382117767","10.94582053629338","46.23317147024088"
"73","26.027969116769693","11.24057544600704","46.727528524740215"
"74","26.29084619973752","11.24057544600704","47.11037958250289"
"75","26.521468968327376","11.770025115458564","47.6019364050616"
"76","26.855242330637516","12.065214743249719","48.01846852252384"
"77","27.137248490338003","12.065214743249719","48.48501328918737"
"78","27.34622373945805","12.84248056616809","48.97139685601005"
"79","27.613093811338775","13.565474839606052","49.24242929523687"
"80","27.866287252680173","14.127239952441407","49.72820409463762"
"81","28.10899846638316","14.244268987216017","50.06879784041904"
"82","28.386245511259542","14.356694866937243","50.5560633305653"
"83","28.59315488689089","14.465898973005189","51.11264972118473"
"84","28.815266009426317","14.538016806204496","51.53795210819553"
"85","29.027044711358364","14.57541393980228","52.25845868253539"
"86","29.23158509604158","14.57541393980228","52.65858481147587"
"87","29.428200026537255","14.612512369150014","53.115287686399185"
"88","29.59652418044015","14.705325491618494","53.52967597453967"
"89","29.79884520204771","14.955811759115463","53.66660469137187"
"90","29.95804573265213","14.980620591297923","53.66660469137187"
"91","30.139747295722724","15.167336470896881","54.11625311871205"
"92","30.334377743652304","15.68104210556453","54.5905618290854"
"93","30.54368293133064","15.761472054675512","55.05721094840628"
"94","30.761288515177846","16.314633952761902","55.79346390760283"
"95","30.965007203039583","16.36516883801104","55.79346390760283"
"96","31.212997792221323","16.434214421621753","55.79346390760283"
"97","31.388552361641818","16.434214421621753","56.27474471970098"
"98","31.5789797759428","16.481591516990846","56.63971280920889"
"99","31.77610419567744","16.714577928123063","56.91953417263489"
"100","31.991401730034987","16.88299646729395","57.43100026552612"
"101","32.302830490567914","16.953057006918698","57.84907089033413"
"102","32.55195787090808","17.13121739415145","58.59249703696774"
"103","32.701738854000986","17.13121739415145","58.59249703696774"
"104","33.00419416593492","17.13121739415145","58.59249703696774"
"105","33.205900115249214","17.13121739415145","58.59249703696774"
"106","33.39060487549877","17.13121739415145","59.1971785857577"
"107","33.5976675945983","17.13121739415145","59.1971785857577"
"108","33.722893867498215","17.13121739415145","59.1971785857577"
"109","33.8642811823137","17.213561638305734","59.1971785857577"
"110","34.01246925269978","17.213561638305734","59.1971785857577"
"111","34.2262552857243","17.93536939882332","59.1971785857577"
