"Step","env_id: MNISTBandit-v0 - regret","env_id: MNISTBandit-v0 - regret__MIN","env_id: MNISTBandit-v0 - regret__MAX"
"91","158.6206896551724","52","178"
"92","160.41379310344828","52","180"
"93","162.06896551724137","54","182"
"94","163.72413793103448","54","184"
"95","165.3793103448276","54","186"
"96","167.17241379310346","56","188"
"97","168.82758620689654","56","190"
"98","170.6206896551724","56","192"
"99","172.27586206896552","56","194"
"100","173.93103448275863","56","196"
"101","175.6551724137931","56","198"
"102","177.3793103448276","56","200"
"103","179.0344827586207","56","202"
"104","180.68965517241378","58","204"
"105","182.13793103448276","58","206"
"106","183.51724137931035","58","208"
"107","185.0344827586207","58","210"
"108","186.41379310344828","58","212"
"109","188","60","214"
"110","189.3793103448276","60","216"
"111","190.68965517241378","60","218"
"112","192.3448275862069","62","220"
"113","193.79310344827587","64","222"
"114","195.3793103448276","64","224"
"115","196.9655172413793","66","226"
"116","198.6206896551724","68","228"
"117","199.93103448275863","68","230"
"118","201.31034482758622","68","232"
"119","202.75862068965517","68","234"
"120","204","70","236"
"121","205.51724137931035","70","238"
"122","206.75862068965517","72","240"
"123","207.93103448275863","72","242"
"124","209.17241379310346","72","244"
"125","210.41379310344828","74","246"
"126","211.3793103448276","74","246"
"127","212.41379310344828","74","248"
"128","213.72413793103448","74","250"
"129","214.75862068965517","74","252"
"130","215.79310344827587","76","254"
"131","216.82758620689654","76","256"
"132","217.79310344827587","78","258"
"133","218.75862068965517","78","260"
"134","219.93103448275863","80","262"
"135","221.0344827586207","82","264"
"136","222.48275862068965","84","266"
"137","223.72413793103448","84","268"
"138","224.55172413793105","86","268"
"139","225.58620689655172","86","270"
"140","226.89655172413794","88","270"
"141","228","88","272"
"142","228.89655172413794","90","274"
"143","229.79310344827587","90","276"
"144","230.6206896551724","90","278"
"145","231.3793103448276","90","280"
"146","232.13793103448276","92","282"
"147","233.17241379310346","92","282"
"148","234.06896551724137","94","284"
"149","234.55172413793105","94","286"
"150","235.17241379310346","94","288"
"151","236","94","290"
"152","237.0344827586207","94","292"
"153","237.72413793103448","96","292"
"154","238.27586206896552","96","292"
"155","239.17241379310346","96","294"
"156","240.06896551724137","96","294"
"157","240.75862068965517","98","294"
"158","241.44827586206895","98","294"
"159","242.13793103448276","98","296"
"160","243.0344827586207","98","296"
"161","243.51724137931035","98","296"
"162","244.13793103448276","100","296"
"163","244.9655172413793","102","296"
"164","245.72413793103448","102","296"
"165","246.3448275862069","104","298"
"166","247.17241379310346","106","300"
"167","247.6551724137931","108","300"
"168","248","108","300"
"169","248.75862068965517","108","300"
"170","249.31034482758622","108","302"
"171","250.13793103448276","108","302"
"172","250.55172413793105","108","302"
"173","251.24137931034483","108","302"
"174","251.86206896551724","110","302"
"175","252.41379310344828","112","302"
"176","253.10344827586206","114","304"
"177","253.79310344827587","114","304"
"178","254.55172413793105","114","306"
"179","255.31034482758622","116","308"
"180","256.0689655172414","118","308"
"181","257.0344827586207","120","310"
"182","257.37931034482756","122","310"
"183","257.86206896551727","124","310"
"184","258.3448275862069","124","312"
"185","258.7586206896552","124","312"
"186","259.1034482758621","124","314"
"187","259.37931034482756","124","314"
"188","260","124","314"
"189","260.7586206896552","124","314"
"190","261.1034482758621","124","314"
"191","261.7241379310345","126","316"
"192","262","126","318"
"193","262.3448275862069","128","320"
"194","262.55172413793105","128","320"
"195","263.2413793103448","128","322"
"196","263.7931034482759","128","322"
"197","264.2068965517241","128","322"
"198","264.7586206896552","128","322"
"199","265.1034482758621","128","322"
"200","265.7241379310345","130","322"
