"Name","batch_size","mean_regret","seed","env_id","memory_size","_wandb"
"conbandit_combi1_0__3__2025-06-18_11-37","5","60.707000732421875","3","NNBandit-v0","2000",""
"conbandit_combi1_0__2__2025-06-18_11-37","5","29.528411865234375","2","NNBandit-v0","2000",""
"conbandit_combi1_0__1__2025-06-18_11-36","5","19.963747024536133","1","NNBandit-v0","2000",""
"conbandit_combi1_0__0__2025-06-18_11-36","5","44.79678726196289","0","NNBandit-v0","2000",""
"conbandit_combi1_0__5__2025-06-18_11-31","5","58.255468584411354","5","ContextualBandit-v2","2000",""
"conbandit_combi1_0__4__2025-06-18_11-31","5","188.9405081688955","4","ContextualBandit-v2","2000",""
"conbandit_combi1_0__3__2025-06-18_11-31","5","62.19681486940752","3","ContextualBandit-v2","2000",""
"conbandit_combi1_0__2__2025-06-18_11-30","5","55.43704374410925","2","ContextualBandit-v2","2000",""
"conbandit_combi1_0__1__2025-06-18_11-30","5","66.13990139345876","1","ContextualBandit-v2","2000",""
"conbandit_combi1_0__0__2025-06-18_11-30","5","30.29679313643793","0","ContextualBandit-v2","2000",""
"conbandit_combi1_0__5__2025-06-18_11-25","2","32.993080139160156","5","NNBandit-v0","2000",""
"conbandit_combi1_0__4__2025-06-18_11-25","2","64.93606567382812","4","NNBandit-v0","2000",""
"conbandit_combi1_0__3__2025-06-18_11-24","2","74.88095092773438","3","NNBandit-v0","2000",""
"conbandit_combi1_0__2__2025-06-18_11-24","2","44.62580490112305","2","NNBandit-v0","2000",""
"conbandit_combi1_0__1__2025-06-18_11-24","2","28.099390029907227","1","NNBandit-v0","2000",""
"conbandit_combi1_0__0__2025-06-18_11-24","2","64.51970672607422","0","NNBandit-v0","2000",""
"conbandit_combi1_0__5__2025-06-18_11-19","2","68.00835220645591","5","ContextualBandit-v2","2000",""
"conbandit_combi1_0__4__2025-06-18_11-19","2","199.3081739408449","4","ContextualBandit-v2","2000",""
"conbandit_combi1_0__3__2025-06-18_11-19","2","82.06082399102631","3","ContextualBandit-v2","2000",""
"conbandit_combi1_0__2__2025-06-18_11-19","2","60.85810080888275","2","ContextualBandit-v2","2000",""
"conbandit_combi1_0__1__2025-06-18_11-18","2","76.90203372235302","1","ContextualBandit-v2","2000",""
"conbandit_combi1_0__0__2025-06-18_11-18","2","46.30619764987253","0","ContextualBandit-v2","2000",""
