"Name","batch_size","mean_regret","env_id","memory_size","dynamic_rate","seed","_wandb"
"conbandit_combi1_0__0__2025-06-18_15-20","50","38.367164611816406","NNBandit-v0","2000","200","0",""
"conbandit_combi1_0__5__2025-06-18_15-20","50","112.66205596923828","NNBandit-v0","1500","200","5",""
"conbandit_combi1_0__4__2025-06-18_15-20","50","65.72185516357422","NNBandit-v0","1500","200","4",""
"conbandit_combi1_0__3__2025-06-18_15-20","50","112.50711059570312","NNBandit-v0","1500","200","3",""
"conbandit_combi1_0__2__2025-06-18_15-19","50","92.16415405273438","NNBandit-v0","1500","200","2",""
"conbandit_combi1_0__1__2025-06-18_15-19","50","27.979808807373047","NNBandit-v0","1500","200","1",""
"conbandit_combi1_0__0__2025-06-18_15-19","50","38.367164611816406","NNBandit-v0","1500","200","0",""
"conbandit_combi1_0__5__2025-06-18_15-19","50","106.24337768554688","NNBandit-v0","1000","200","5",""
"conbandit_combi1_0__4__2025-06-18_15-18","50","65.37299346923828","NNBandit-v0","1000","200","4",""
"conbandit_combi1_0__3__2025-06-18_15-18","50","108.67557525634766","NNBandit-v0","1000","200","3",""
"conbandit_combi1_0__2__2025-06-18_15-18","50","91.92390441894533","NNBandit-v0","1000","200","2",""
"conbandit_combi1_0__1__2025-06-18_15-17","50","27.979808807373047","NNBandit-v0","1000","200","1",""
"conbandit_combi1_0__0__2025-06-18_15-17","50","38.31571960449219","NNBandit-v0","1000","200","0",""
"conbandit_combi1_0__5__2025-06-18_15-17","50","69.37220001220703","NNBandit-v0","500","200","5",""
"conbandit_combi1_0__4__2025-06-18_15-17","50","64.79690551757812","NNBandit-v0","500","200","4",""
"conbandit_combi1_0__3__2025-06-18_15-16","50","100.00906372070312","NNBandit-v0","500","200","3",""
"conbandit_combi1_0__2__2025-06-18_15-16","50","89.50369262695312","NNBandit-v0","500","200","2",""
"conbandit_combi1_0__1__2025-06-18_15-16","50","27.975902557373047","NNBandit-v0","500","200","1",""
"conbandit_combi1_0__0__2025-06-18_15-16","50","37.972171783447266","NNBandit-v0","500","200","0",""
"conbandit_combi1_0__5__2025-06-18_15-15","50","266.2089834277284","ContextualBandit-v2","2000","200","5",""
"conbandit_combi1_0__4__2025-06-18_15-15","50","248.3239149059735","ContextualBandit-v2","2000","200","4",""
"conbandit_combi1_0__3__2025-06-18_15-15","50","298.7598196148878","ContextualBandit-v2","2000","200","3",""
"conbandit_combi1_0__2__2025-06-18_15-15","50","269.383401862161","ContextualBandit-v2","2000","200","2",""
"conbandit_combi1_0__1__2025-06-18_15-14","50","224.2687590138354","ContextualBandit-v2","2000","200","1",""
"conbandit_combi1_0__0__2025-06-18_15-14","50","208.8611286161685","ContextualBandit-v2","2000","200","0",""
"conbandit_combi1_0__5__2025-06-18_15-14","50","265.77427400407925","ContextualBandit-v2","1500","200","5",""
"conbandit_combi1_0__4__2025-06-18_15-13","50","249.99745040196373","ContextualBandit-v2","1500","200","4",""
"conbandit_combi1_0__3__2025-06-18_15-13","50","298.6310743758946","ContextualBandit-v2","1500","200","3",""
"conbandit_combi1_0__2__2025-06-18_15-13","50","268.09542752133217","ContextualBandit-v2","1500","200","2",""
"conbandit_combi1_0__1__2025-06-18_15-13","50","224.33308768181357","ContextualBandit-v2","1500","200","1",""
"conbandit_combi1_0__0__2025-06-18_15-12","50","209.04840534210803","ContextualBandit-v2","1500","200","0",""
"conbandit_combi1_0__5__2025-06-18_15-12","50","265.4170201419797","ContextualBandit-v2","1000","200","5",""
"conbandit_combi1_0__4__2025-06-18_15-12","50","248.55396621466664","ContextualBandit-v2","1000","200","4",""
"conbandit_combi1_0__3__2025-06-18_15-12","50","310.1786228230235","ContextualBandit-v2","1000","200","3",""
"conbandit_combi1_0__2__2025-06-18_15-11","50","271.2432719655146","ContextualBandit-v2","1000","200","2",""
"conbandit_combi1_0__1__2025-06-18_15-11","50","225.32540693155076","ContextualBandit-v2","1000","200","1",""
"conbandit_combi1_0__0__2025-06-18_15-11","50","226.46579382557377","ContextualBandit-v2","1000","200","0",""
"conbandit_combi1_0__5__2025-06-18_15-10","50","285.762725704698","ContextualBandit-v2","500","200","5",""
"conbandit_combi1_0__4__2025-06-18_15-10","50","253.5603704715544","ContextualBandit-v2","500","200","4",""
"conbandit_combi1_0__3__2025-06-18_15-10","50","308.8562727451003","ContextualBandit-v2","500","200","3",""
"conbandit_combi1_0__2__2025-06-18_15-10","50","283.17765560059564","ContextualBandit-v2","500","200","2",""
"conbandit_combi1_0__1__2025-06-18_15-09","50","210.5111618558602","ContextualBandit-v2","500","200","1",""
"conbandit_combi1_0__0__2025-06-18_15-09","50","215.70500314843295","ContextualBandit-v2","500","200","0",""
"conbandit_combi1_0__5__2025-06-18_14-56","30","112.64596557617188","NNBandit-v0","2000","200","5",""
"conbandit_combi1_0__4__2025-06-18_14-56","30","49.874813079833984","NNBandit-v0","2000","200","4",""
"conbandit_combi1_0__3__2025-06-18_14-56","30","100.12674713134766","NNBandit-v0","2000","200","3",""
"conbandit_combi1_0__2__2025-06-18_14-56","30","139.53646850585938","NNBandit-v0","2000","200","2",""
"conbandit_combi1_0__1__2025-06-18_14-55","30","24.583452224731445","NNBandit-v0","2000","200","1",""
"conbandit_combi1_0__0__2025-06-18_14-55","30","36.594486236572266","NNBandit-v0","2000","200","0",""
"conbandit_combi1_0__5__2025-06-18_14-55","30","111.8814697265625","NNBandit-v0","1500","200","5",""
"conbandit_combi1_0__4__2025-06-18_14-55","30","49.90614700317383","NNBandit-v0","1500","200","4",""
"conbandit_combi1_0__3__2025-06-18_14-54","30","100.02774810791016","NNBandit-v0","1500","200","3",""
"conbandit_combi1_0__2__2025-06-18_14-54","30","139.6063995361328","NNBandit-v0","1500","200","2",""
"conbandit_combi1_0__1__2025-06-18_14-54","30","24.583452224731445","NNBandit-v0","1500","200","1",""
"conbandit_combi1_0__0__2025-06-18_14-53","30","36.594486236572266","NNBandit-v0","1500","200","0",""
"conbandit_combi1_0__5__2025-06-18_14-53","30","102.09087371826172","NNBandit-v0","1000","200","5",""
"conbandit_combi1_0__4__2025-06-18_14-53","30","49.67392349243164","NNBandit-v0","1000","200","4",""
"conbandit_combi1_0__3__2025-06-18_14-53","30","97.19349670410156","NNBandit-v0","1000","200","3",""
"conbandit_combi1_0__2__2025-06-18_14-53","30","135.76394653320312","NNBandit-v0","1000","200","2",""
"conbandit_combi1_0__1__2025-06-18_14-52","30","24.583452224731445","NNBandit-v0","1000","200","1",""
"conbandit_combi1_0__0__2025-06-18_14-52","30","36.913665771484375","NNBandit-v0","1000","200","0",""
"conbandit_combi1_0__5__2025-06-18_14-52","30","96.38500213623048","NNBandit-v0","500","200","5",""
"conbandit_combi1_0__4__2025-06-18_14-51","30","49.656951904296875","NNBandit-v0","500","200","4",""
"conbandit_combi1_0__3__2025-06-18_14-51","30","87.4775161743164","NNBandit-v0","500","200","3",""
"conbandit_combi1_0__2__2025-06-18_14-51","30","117.3644027709961","NNBandit-v0","500","200","2",""
"conbandit_combi1_0__1__2025-06-18_14-51","30","24.579545974731445","NNBandit-v0","500","200","1",""
"conbandit_combi1_0__0__2025-06-18_14-51","30","36.78858947753906","NNBandit-v0","500","200","0",""
"conbandit_combi1_0__5__2025-06-18_14-50","30","265.5834831146836","ContextualBandit-v2","2000","200","5",""
"conbandit_combi1_0__4__2025-06-18_14-50","30","244.6580791597461","ContextualBandit-v2","2000","200","4",""
"conbandit_combi1_0__3__2025-06-18_14-50","30","316.2233835201389","ContextualBandit-v2","2000","200","3",""
"conbandit_combi1_0__2__2025-06-18_14-49","30","399.7276068497236","ContextualBandit-v2","2000","200","2",""
"conbandit_combi1_0__1__2025-06-18_14-49","30","273.6360253213169","ContextualBandit-v2","2000","200","1",""
"conbandit_combi1_0__0__2025-06-18_14-49","30","191.19617748064007","ContextualBandit-v2","2000","200","0",""
"conbandit_combi1_0__5__2025-06-18_14-49","30","265.6026409214631","ContextualBandit-v2","1500","200","5",""
"conbandit_combi1_0__4__2025-06-18_14-48","30","244.99716827968015","ContextualBandit-v2","1500","200","4",""
"conbandit_combi1_0__3__2025-06-18_14-48","30","315.3484119925817","ContextualBandit-v2","1500","200","3",""
"conbandit_combi1_0__2__2025-06-18_14-48","30","397.2554726334181","ContextualBandit-v2","1500","200","2",""
"conbandit_combi1_0__1__2025-06-18_14-48","30","272.42041976973394","ContextualBandit-v2","1500","200","1",""
"conbandit_combi1_0__0__2025-06-18_14-47","30","188.37829335216537","ContextualBandit-v2","1500","200","0",""
"conbandit_combi1_0__5__2025-06-18_14-47","30","267.39332169099254","ContextualBandit-v2","1000","200","5",""
"conbandit_combi1_0__4__2025-06-18_14-47","30","243.75673877832492","ContextualBandit-v2","1000","200","4",""
"conbandit_combi1_0__3__2025-06-18_14-46","30","313.69540751178886","ContextualBandit-v2","1000","200","3",""
"conbandit_combi1_0__2__2025-06-18_14-46","30","396.7106726665017","ContextualBandit-v2","1000","200","2",""
"conbandit_combi1_0__1__2025-06-18_14-46","30","272.2729478107414","ContextualBandit-v2","1000","200","1",""
"conbandit_combi1_0__0__2025-06-18_14-46","30","188.06986821695227","ContextualBandit-v2","1000","200","0",""
"conbandit_combi1_0__5__2025-06-18_14-45","30","283.299759794021","ContextualBandit-v2","500","200","5",""
"conbandit_combi1_0__4__2025-06-18_14-45","30","197.3319902976246","ContextualBandit-v2","500","200","4",""
"conbandit_combi1_0__3__2025-06-18_14-45","30","298.9072502387591","ContextualBandit-v2","500","200","3",""
"conbandit_combi1_0__2__2025-06-18_14-45","30","386.3081117742178","ContextualBandit-v2","500","200","2",""
"conbandit_combi1_0__1__2025-06-18_14-44","30","249.77771219706693","ContextualBandit-v2","500","200","1",""
"conbandit_combi1_0__0__2025-06-18_14-44","30","193.73149539158908","ContextualBandit-v2","500","200","0",""
"conbandit_combi1_0__5__2025-06-18_14-31","20","58.0030517578125","NNBandit-v0","2000","200","5",""
"conbandit_combi1_0__4__2025-06-18_14-30","20","50.10758972167969","NNBandit-v0","2000","200","4",""
"conbandit_combi1_0__3__2025-06-18_14-30","20","95.38848876953124","NNBandit-v0","2000","200","3",""
"conbandit_combi1_0__2__2025-06-18_14-30","20","83.5201644897461","NNBandit-v0","2000","200","2",""
"conbandit_combi1_0__1__2025-06-18_14-30","20","24.812395095825195","NNBandit-v0","2000","200","1",""
"conbandit_combi1_0__0__2025-06-18_14-30","20","37.93212127685547","NNBandit-v0","2000","200","0",""
"conbandit_combi1_0__5__2025-06-18_14-29","20","57.66500473022461","NNBandit-v0","1500","200","5",""
"conbandit_combi1_0__4__2025-06-18_14-29","20","50.04338455200195","NNBandit-v0","1500","200","4",""
"conbandit_combi1_0__3__2025-06-18_14-29","20","95.40384674072266","NNBandit-v0","1500","200","3",""
"conbandit_combi1_0__2__2025-06-18_14-29","20","83.52476501464844","NNBandit-v0","1500","200","2",""
"conbandit_combi1_0__1__2025-06-18_14-28","20","24.812395095825195","NNBandit-v0","1500","200","1",""
"conbandit_combi1_0__0__2025-06-18_14-28","20","37.94783782958984","NNBandit-v0","1500","200","0",""
"conbandit_combi1_0__5__2025-06-18_14-28","20","55.39986038208008","NNBandit-v0","1000","200","5",""
"conbandit_combi1_0__4__2025-06-18_14-28","20","49.98349380493164","NNBandit-v0","1000","200","4",""
"conbandit_combi1_0__3__2025-06-18_14-28","20","91.74714660644533","NNBandit-v0","1000","200","3",""
"conbandit_combi1_0__2__2025-06-18_14-27","20","83.09513854980469","NNBandit-v0","1000","200","2",""
"conbandit_combi1_0__1__2025-06-18_14-27","20","24.812395095825195","NNBandit-v0","1000","200","1",""
"conbandit_combi1_0__0__2025-06-18_14-27","20","37.95587539672851","NNBandit-v0","1000","200","0",""
"conbandit_combi1_0__5__2025-06-18_14-27","20","51.5848503112793","NNBandit-v0","500","200","5",""
"conbandit_combi1_0__4__2025-06-18_14-26","20","49.58741760253906","NNBandit-v0","500","200","4",""
"conbandit_combi1_0__3__2025-06-18_14-26","20","85.4966812133789","NNBandit-v0","500","200","3",""
"conbandit_combi1_0__2__2025-06-18_14-26","20","79.29440307617188","NNBandit-v0","500","200","2",""
"conbandit_combi1_0__1__2025-06-18_14-26","20","24.916616439819336","NNBandit-v0","500","200","1",""
"conbandit_combi1_0__0__2025-06-18_14-26","20","37.83284378051758","NNBandit-v0","500","200","0",""
"conbandit_combi1_0__5__2025-06-18_14-25","20","254.40265454709373","ContextualBandit-v2","2000","200","5",""
"conbandit_combi1_0__4__2025-06-18_14-25","20","235.15759673571057","ContextualBandit-v2","2000","200","4",""
"conbandit_combi1_0__3__2025-06-18_14-25","20","314.06265786211475","ContextualBandit-v2","2000","200","3",""
"conbandit_combi1_0__2__2025-06-18_14-25","20","393.245333778076","ContextualBandit-v2","2000","200","2",""
"conbandit_combi1_0__1__2025-06-18_14-24","20","213.10527804500745","ContextualBandit-v2","2000","200","1",""
"conbandit_combi1_0__0__2025-06-18_14-24","20","189.09817676244677","ContextualBandit-v2","2000","200","0",""
"conbandit_combi1_0__5__2025-06-18_14-24","20","255.28702090167045","ContextualBandit-v2","1500","200","5",""
"conbandit_combi1_0__4__2025-06-18_14-23","20","234.85204024306847","ContextualBandit-v2","1500","200","4",""
"conbandit_combi1_0__3__2025-06-18_14-23","20","314.21730267774956","ContextualBandit-v2","1500","200","3",""
"conbandit_combi1_0__2__2025-06-18_14-23","20","393.3504797086106","ContextualBandit-v2","1500","200","2",""
"conbandit_combi1_0__1__2025-06-18_14-23","20","210.83309510951025","ContextualBandit-v2","1500","200","1",""
"conbandit_combi1_0__0__2025-06-18_14-22","20","188.87742220985592","ContextualBandit-v2","1500","200","0",""
"conbandit_combi1_0__5__2025-06-18_14-22","20","253.01798136636907","ContextualBandit-v2","1000","200","5",""
"conbandit_combi1_0__4__2025-06-18_14-22","20","243.42420540418743","ContextualBandit-v2","1000","200","4",""
"conbandit_combi1_0__3__2025-06-18_14-22","20","312.61473639351965","ContextualBandit-v2","1000","200","3",""
"conbandit_combi1_0__2__2025-06-18_14-21","20","392.45598651415736","ContextualBandit-v2","1000","200","2",""
"conbandit_combi1_0__1__2025-06-18_14-21","20","216.6131431138779","ContextualBandit-v2","1000","200","1",""
"conbandit_combi1_0__0__2025-06-18_14-21","20","205.46904497925604","ContextualBandit-v2","1000","200","0",""
"conbandit_combi1_0__5__2025-06-18_14-21","20","274.3382839345825","ContextualBandit-v2","500","200","5",""
"conbandit_combi1_0__4__2025-06-18_14-20","20","197.63463463397912","ContextualBandit-v2","500","200","4",""
"conbandit_combi1_0__3__2025-06-18_14-20","20","324.15359296660756","ContextualBandit-v2","500","200","3",""
"conbandit_combi1_0__2__2025-06-18_14-20","20","366.7795007698097","ContextualBandit-v2","500","200","2",""
"conbandit_combi1_0__1__2025-06-18_14-20","20","195.41093050310573","ContextualBandit-v2","500","200","1",""
"conbandit_combi1_0__0__2025-06-18_14-19","20","199.03827343976107","ContextualBandit-v2","500","200","0",""
