"Step","noisy_net: true - exploration_rate","noisy_net: true - exploration_rate__MIN","noisy_net: true - exploration_rate__MAX","noisy_net: false - exploration_rate","noisy_net: false - exploration_rate__MIN","noisy_net: false - exploration_rate__MAX"
"35","","","","0.4000000000000001","0.4","0.4"
"36","","","","0.4000000000000001","0.4","0.4"
"37","","","","0.4000000000000001","0.4","0.4"
"38","","","","0.4000000000000001","0.4","0.4"
"39","","","","0.4000000000000001","0.4","0.4"
"40","0.43967391304347836","0.15","0.6875","0.4000000000000001","0.4","0.4"
"41","","","","0.4000000000000001","0.4","0.4"
"42","","","","0.4000000000000001","0.4","0.4"
"43","","","","0.4000000000000001","0.4","0.4"
"44","","","","0.4000000000000001","0.4","0.4"
"45","","","","0.4000000000000001","0.4","0.4"
"46","","","","0.4000000000000001","0.4","0.4"
"47","","","","0.4000000000000001","0.4","0.4"
"48","","","","0.4000000000000001","0.4","0.4"
"49","","","","0.4000000000000001","0.4","0.4"
"50","0.44478260869565217","0.16999999999999998","0.7","0.4000000000000001","0.4","0.4"
"51","","","","0.4000000000000001","0.4","0.4"
"52","","","","0.4000000000000001","0.4","0.4"
"53","","","","0.4000000000000001","0.4","0.4"
"54","","","","0.4000000000000001","0.4","0.4"
"55","","","","0.4000000000000001","0.4","0.4"
"56","","","","0.4000000000000001","0.4","0.4"
"57","","","","0.4000000000000001","0.4","0.4"
"58","","","","0.4000000000000001","0.4","0.4"
"59","","","","0.4000000000000001","0.4","0.4"
"60","0.4471014492753624","0.17499999999999996","0.6916666666666668","0.4000000000000001","0.4","0.4"
"61","","","","0.4000000000000001","0.4","0.4"
"62","","","","0.4000000000000001","0.4","0.4"
"63","","","","0.4000000000000001","0.4","0.4"
"64","","","","0.4000000000000001","0.4","0.4"
"65","","","","0.4000000000000001","0.4","0.4"
"66","","","","0.4000000000000001","0.4","0.4"
"67","","","","0.4000000000000001","0.4","0.4"
"68","","","","0.4000000000000001","0.4","0.4"
"69","","","","0.4000000000000001","0.4","0.4"
"70","0.44813664596273306","0.1714285714285714","0.7000000000000001","0.4000000000000001","0.4","0.4"
"71","","","","0.4000000000000001","0.4","0.4"
"72","","","","0.4000000000000001","0.4","0.4"
"73","","","","0.4000000000000001","0.4","0.4"
"74","","","","0.4000000000000001","0.4","0.4"
"75","","","","0.4000000000000001","0.4","0.4"
"76","","","","0.4000000000000001","0.4","0.4"
"77","","","","0.4000000000000001","0.4","0.4"
"78","","","","0.4000000000000001","0.4","0.4"
"79","","","","0.4000000000000001","0.4","0.4"
"80","0.45027173913043483","0.16249999999999998","0.7000000000000001","0.4000000000000001","0.4","0.4"
"81","","","","0.4000000000000001","0.4","0.4"
"82","","","","0.4000000000000001","0.4","0.4"
"83","","","","0.4000000000000001","0.4","0.4"
"84","","","","0.4000000000000001","0.4","0.4"
"85","","","","0.4000000000000001","0.4","0.4"
"86","","","","0.4000000000000001","0.4","0.4"
"87","","","","0.4000000000000001","0.4","0.4"
"88","","","","0.4000000000000001","0.4","0.4"
"89","","","","0.4000000000000001","0.4","0.4"
"90","0.44782608695652176","0.15555555555555556","0.7277777777777779","0.4000000000000001","0.4","0.4"
"91","","","","0.4000000000000001","0.4","0.4"
"92","","","","0.4000000000000001","0.4","0.4"
"93","","","","0.4000000000000001","0.4","0.4"
"94","","","","0.4000000000000001","0.4","0.4"
"95","","","","0.4000000000000001","0.4","0.4"
"96","","","","0.4000000000000001","0.4","0.4"
"97","","","","0.4000000000000001","0.4","0.4"
"98","","","","0.4000000000000001","0.4","0.4"
"99","","","","0.4000000000000001","0.4","0.4"
"100","0.45","0.15499999999999997","0.7500000000000001","0.4000000000000001","0.4","0.4"
"101","","","","0.4000000000000001","0.4","0.4"
"102","","","","0.4000000000000001","0.4","0.4"
"103","","","","0.4000000000000001","0.4","0.4"
"104","","","","0.4000000000000001","0.4","0.4"
"105","","","","0.4000000000000001","0.4","0.4"
"106","","","","0.4000000000000001","0.4","0.4"
"107","","","","0.4000000000000001","0.4","0.4"
"108","","","","0.4000000000000001","0.4","0.4"
"109","","","","0.4000000000000001","0.4","0.4"
"110","0.4555335968379447","0.1409090909090909","0.75","0.4000000000000001","0.4","0.4"
"111","","","","0.4000000000000001","0.4","0.4"
"112","","","","0.4000000000000001","0.4","0.4"
"113","","","","0.4000000000000001","0.4","0.4"
"114","","","","0.4000000000000001","0.4","0.4"
"115","","","","0.4000000000000001","0.4","0.4"
"116","","","","0.4000000000000001","0.4","0.4"
"117","","","","0.4000000000000001","0.4","0.4"
"118","","","","0.4000000000000001","0.4","0.4"
"119","","","","0.4000000000000001","0.4","0.4"
