"Name","hidden_layer_size","mean_regret","env_id","noisy_net","seed","_wandb"
"conbandit_combi1_0__1__2025-06-19_17-46","10","149.19461059570312","NNBandit-v0","true","1",""
"conbandit_combi1_0__0__2025-06-19_17-46","10","86.62590026855469","NNBandit-v0","true","0",""
"conbandit_combi1_0__3__2025-06-19_17-46","100","297.488","MNISTBandit-v0","false","3",""
"conbandit_combi1_0__2__2025-06-19_17-46","100","157.574","MNISTBandit-v0","false","2",""
"conbandit_combi1_0__1__2025-06-19_17-45","100","279.795","MNISTBandit-v0","false","1",""
"conbandit_combi1_0__0__2025-06-19_17-45","100","295.127","MNISTBandit-v0","false","0",""
"conbandit_combi1_0__3__2025-06-19_17-45","100","198.13","MNISTBandit-v0","true","3",""
"conbandit_combi1_0__2__2025-06-19_17-45","100","201.882","MNISTBandit-v0","true","2",""
"conbandit_combi1_0__1__2025-06-19_17-44","100","169.136","MNISTBandit-v0","true","1",""
"conbandit_combi1_0__0__2025-06-19_17-44","100","215.412","MNISTBandit-v0","true","0",""
"conbandit_combi1_0__3__2025-06-19_17-44","90","310.38","MNISTBandit-v0","false","3",""
"conbandit_combi1_0__2__2025-06-19_17-44","90","276.043","MNISTBandit-v0","false","2",""
"conbandit_combi1_0__1__2025-06-19_17-44","90","289.334","MNISTBandit-v0","false","1",""
"conbandit_combi1_0__0__2025-06-19_17-43","90","287.552","MNISTBandit-v0","false","0",""
"conbandit_combi1_0__3__2025-06-19_17-43","90","147.681","MNISTBandit-v0","true","3",""
"conbandit_combi1_0__2__2025-06-19_17-43","90","200.249","MNISTBandit-v0","true","2",""
"conbandit_combi1_0__1__2025-06-19_17-43","90","242.101","MNISTBandit-v0","true","1",""
"conbandit_combi1_0__0__2025-06-19_17-42","90","228.941","MNISTBandit-v0","true","0",""
"conbandit_combi1_0__3__2025-06-19_17-42","80","289.811","MNISTBandit-v0","false","3",""
"conbandit_combi1_0__2__2025-06-19_17-42","80","300.488","MNISTBandit-v0","false","2",""
"conbandit_combi1_0__1__2025-06-19_17-42","80","289.036","MNISTBandit-v0","false","1",""
"conbandit_combi1_0__0__2025-06-19_17-42","80","283.993","MNISTBandit-v0","false","0",""
"conbandit_combi1_0__3__2025-06-19_17-41","80","170.965","MNISTBandit-v0","true","3",""
"conbandit_combi1_0__2__2025-06-19_17-41","80","255.326","MNISTBandit-v0","true","2",""
"conbandit_combi1_0__1__2025-06-19_17-41","80","219.18","MNISTBandit-v0","true","1",""
"conbandit_combi1_0__0__2025-06-19_17-41","80","266.466","MNISTBandit-v0","true","0",""
"conbandit_combi1_0__3__2025-06-19_17-41","70","172.851","MNISTBandit-v0","false","3",""
"conbandit_combi1_0__2__2025-06-19_17-40","70","164.858","MNISTBandit-v0","false","2",""
"conbandit_combi1_0__1__2025-06-19_17-40","70","278.516","MNISTBandit-v0","false","1",""
"conbandit_combi1_0__0__2025-06-19_17-40","70","295.731","MNISTBandit-v0","false","0",""
"conbandit_combi1_0__3__2025-06-19_17-40","70","203.645","MNISTBandit-v0","true","3",""
"conbandit_combi1_0__2__2025-06-19_17-39","70","205.525","MNISTBandit-v0","true","2",""
"conbandit_combi1_0__1__2025-06-19_17-39","70","201.71","MNISTBandit-v0","true","1",""
"conbandit_combi1_0__0__2025-06-19_17-39","70","189.838","MNISTBandit-v0","true","0",""
"conbandit_combi1_0__3__2025-06-19_17-39","60","314.34","MNISTBandit-v0","false","3",""
"conbandit_combi1_0__2__2025-06-19_17-39","60","164.855","MNISTBandit-v0","false","2",""
"conbandit_combi1_0__1__2025-06-19_17-38","60","319.604","MNISTBandit-v0","false","1",""
"conbandit_combi1_0__0__2025-06-19_17-38","60","304.874","MNISTBandit-v0","false","0",""
"conbandit_combi1_0__3__2025-06-19_17-38","60","303.578","MNISTBandit-v0","true","3",""
"conbandit_combi1_0__2__2025-06-19_17-38","60","251.51","MNISTBandit-v0","true","2",""
"conbandit_combi1_0__1__2025-06-19_17-37","60","232.152","MNISTBandit-v0","true","1",""
