"Step","conbandit_combi1_0__5820__2025-06-17_16-53 - regret","conbandit_combi1_0__5820__2025-06-17_16-53 - regret__MIN","conbandit_combi1_0__5820__2025-06-17_16-53 - regret__MAX","conbandit_combi1_0__7324__2025-06-17_16-52 - regret","conbandit_combi1_0__7324__2025-06-17_16-52 - regret__MIN","conbandit_combi1_0__7324__2025-06-17_16-52 - regret__MAX","conbandit_combi1_0__6341__2025-06-17_16-51 - regret","conbandit_combi1_0__6341__2025-06-17_16-51 - regret__MIN","conbandit_combi1_0__6341__2025-06-17_16-51 - regret__MAX"
"28","5.361197176855882","5.361197176855882","5.361197176855882","54","54","54","6.8158698081970215","6.8158698081970215","6.8158698081970215"
"29","5.361197176855882","5.361197176855882","5.361197176855882","56","56","56","7.2433600425720215","7.2433600425720215","7.2433600425720215"
"30","5.449129812686648","5.449129812686648","5.449129812686648","58","58","58","7.556828022003174","7.556828022003174","7.556828022003174"
"31","5.489724427356608","5.489724427356608","5.489724427356608","60","60","60","7.699642658233643","7.699642658233643","7.699642658233643"
"32","5.489724427356608","5.489724427356608","5.489724427356608","62","62","62","8.017533302307129","8.017533302307129","8.017533302307129"
"33","5.51452977400796","5.51452977400796","5.51452977400796","64","64","64","8.282691955566406","8.282691955566406","8.282691955566406"
"34","5.51452977400796","5.51452977400796","5.51452977400796","66","66","66","8.4483003616333","8.4483003616333","8.4483003616333"
"35","5.51452977400796","5.51452977400796","5.51452977400796","68","68","68","8.760963439941406","8.760963439941406","8.760963439941406"
"36","6.026976742939536","6.026976742939536","6.026976742939536","70","70","70","9.02315616607666","9.02315616607666","9.02315616607666"
"37","6.393664130959538","6.393664130959538","6.393664130959538","70","70","70","9.470380783081055","9.470380783081055","9.470380783081055"
"38","7.0859868275550095","7.0859868275550095","7.0859868275550095","72","72","72","9.629949569702148","9.629949569702148","9.629949569702148"
"39","7.0859868275550095","7.0859868275550095","7.0859868275550095","74","74","74","9.991090774536133","9.991090774536133","9.991090774536133"
"40","7.190024716859452","7.190024716859452","7.190024716859452","76","76","76","10.354381561279297","10.354381561279297","10.354381561279297"
"41","7.268464477865234","7.268464477865234","7.268464477865234","78","78","78","10.457159996032715","10.457159996032715","10.457159996032715"
"42","7.670150703500969","7.670150703500969","7.670150703500969","80","80","80","10.666007995605469","10.666007995605469","10.666007995605469"
"43","8.153039026429857","8.153039026429857","8.153039026429857","82","82","82","10.770020484924316","10.770020484924316","10.770020484924316"
"44","8.550571346339252","8.550571346339252","8.550571346339252","84","84","84","10.97019100189209","10.97019100189209","10.97019100189209"
"45","8.667523889554483","8.667523889554483","8.667523889554483","84","84","84","11.217066764831543","11.217066764831543","11.217066764831543"
"46","9.070438379484576","9.070438379484576","9.070438379484576","86","86","86","11.426072120666504","11.426072120666504","11.426072120666504"
"47","9.07930808211627","9.07930808211627","9.07930808211627","88","88","88","11.670839309692383","11.670839309692383","11.670839309692383"
"48","9.520958366914286","9.520958366914286","9.520958366914286","90","90","90","11.795594215393066","11.795594215393066","11.795594215393066"
